"PVWatts: Hourly PV Performance Data"
"Requested Location:","accra, ghana"
"Location:","ACCRA/KOTOKA INTL, GHANA"
"Lat (deg N):","5.6"
"Long (deg W):","0.17"
"Elev (m):","69"
"DC System Size (kW):","1.7"
"Module Type:","Standard"
"Array Type:","Fixed (open rack)"
"Array Tilt (deg):","20"
"Array Azimuth (deg):","180"
"System Losses:","14.08"
"Invert Efficiency:","96"
"DC to AC Size Ratio:","1.2"
"Average Cost of Electricity Purchased from Utility ($/kWh):","No utility data available"
"Capacity Factor (%)","16.1"	

"Month","Day","Hour","Beam Irradiance (W/m^2)","Diffuse Irradiance (W/m^2)","Ambient Temperature (C)","Wind Speed (m/s)","Plane of Array Irradiance (W/m^2)","Cell Temperature (C)","DC Array Output (W)","AC System Output (W)"
"11","29","11","280","481","31.5","8.2","788.519","42.89","1054.882","1015.068"
"11","29","12","151","442","31.7","7.2","607.55","41.299","819.41","788.657"
"11","29","13","170","408","32","6.2","578.42","41.829","777.816","748.538"
"11","29","14","127","343","31","8.2","456.1","37.423","626.468","602.236"
"11","29","15","64","250","29.3","7.5","294.759","33.471","411.955","394.017"
"11","29","16","8","125","27.7","6.9","128.043","29.198","182.873","170.545"
"11","29","17","0","21","26","6.2","19.877","25.502","28.964","19.761"
"11","29","18","0","0","25.8","6.2","0","25.8","0","0"
"11","29","19","0","0","25.7","6.2","0","25.7","0","0"
"11","29","20","0","0","25.5","6.2","0","25.5","0","0"
"11","29","21","0","0","25.2","5.4","0","25.2","0","0"
"11","29","22","0","0","25","4.6","0","25","0","0"
"11","29","23","0","0","24.7","3.8","0","24.7","0","0"
"11","30","0","0","0","24.5","3.1","0","24.5","0","0"
"11","30","1","0","0","24.2","2.3","0","24.2","0","0"
"11","30","2","0","0","24","1.5","0","24","0","0"
"11","30","3","0","0","24","1.5","0","24","0","0"
"11","30","4","0","0","24","1.5","0","24","0","0"
"11","30","5","0","0","24","1.5","0","24","0","0"
"11","30","6","0","55","25","0.5","56.388","24.649","82.499","72.267"
"11","30","7","33","177","26.7","1.2","198.565","31.149","280.244","265.672"
"11","30","8","86","318","28.3","1.9","385.014","37.664","527.622","506.416"
"11","30","9","193","406","30","2.6","583.899","43.743","777.004","747.754"
"11","30","10","231","505","31","4.1","744.271","46.56","976.807","940.132"
"11","30","11","236","574","32.3","6.2","834.037","46.658","1094.207","1052.762"
"11","30","12","193","527","33","5.1","739.205","47.436","965.831","929.586"
"11","30","13","198","547","31.5","4.6","752.526","46.89","985.833","948.802"
"11","30","14","191","399","30","4.1","566.498","42.233","759.219","730.588"
"11","30","15","117","262","29.5","4.6","340.426","36.317","468.215","448.723"
"11","30","16","12","130","29","5.1","135.143","31.091","191.063","178.554"
"11","30","17","0","24","28","4.6","23.028","27.563","33.23","23.947"
"11","30","18","0","0","28","3.6","0","28","0","0"
"11","30","19","0","0","28","2.5","0","28","0","0"
"11","30","20","0","0","28","1.5","0","28","0","0"
"11","30","21","0","0","27.9","1.4","0","27.9","0","0"
"11","30","22","0","0","27.8","1.3","0","27.8","0","0"
"11","30","23","0","0","27.7","1.2","0","27.7","0","0"
"12","1","0","0","0","27.5","1.1","0","27.5","0","0"
"12","1","1","0","0","27.4","1","0","27.4","0","0"
"12","1","2","0","0","27.3","0.9","0","27.3","0","0"
"12","1","3","0","0","27.2","0.8","0","27.2","0","0"
"12","1","4","0","0","26.9","0.4","0","26.9","0","0"
"12","1","5","0","0","26.5","0","0","26.5","0","0"
"12","1","6","3","72","27","0.5","78.73","27.596","113.336","102.484"
"12","1","7","125","143","27.5","1","209.607","32.613","289.908","275.102"
"12","1","8","336","242","28","1.5","485.166","40.752","651.279","626.254"
"12","1","9","326","352","28.5","2","645.712","45.164","852.537","820.582"
"12","1","10","403","436","29","2.5","842.326","49.609","1087.778","1046.601"
"12","1","11","420","385","29.5","3","834.687","49.282","1080.01","1039.158"
"12","1","12","596","331","30","3.6","947.231","51","1214.407","1167.765"
"12","1","13","421","321","30.5","4.1","733.394","46.508","962.41","926.299"
"12","1","14","377","294","31","4.6","608.364","43.508","808.939","778.561"
"12","1","15","341","205","31.5","5.1","427.819","39.669","574.442","551.829"
"12","1","16","151","116","32","5.6","183.834","35.041","247.445","233.652"
"12","1","17","3","22","32.5","6.1","21.459","32.249","30.011","20.788"
"12","1","18","0","0","31.7","5.5","0","31.7","0","0"
"12","1","19","0","0","30.8","4.9","0","30.8","0","0"
"12","1","20","0","0","30","4.3","0","30","0","0"
"12","1","21","0","0","29.2","3.6","0","29.2","0","0"
"12","1","22","0","0","28.3","3","0","28.3","0","0"
"12","1","23","0","0","27.5","2.4","0","27.5","0","0"
"12","2","0","0","0","26.9","2.5","0","26.9","0","0"
"12","2","1","0","0","26.3","2.6","0","26.3","0","0"
"12","2","2","0","0","25.8","2.8","0","25.8","0","0"
"12","2","3","0","0","25.2","2.9","0","25.2","0","0"
"12","2","4","0","0","25.1","3.1","0","25.1","0","0"
"12","2","5","0","0","24.9","3.3","0","24.9","0","0"
"12","2","6","13","51","26.6","2.9","55.146","26.505","78.861","68.701"
"12","2","7","191","149","28.2","2.6","247.535","33.039","339.783","323.736"
"12","2","8","346","236","29.9","2.2","485.263","41.526","648.672","623.731"
"12","2","9","368","356","30.1","2.6","684.73","46.439","897.97","864.329"
"12","2","10","453","397","30.2","2.9","848.122","50.118","1092.265","1050.9"
"12","2","11","497","381","30.4","3.3","906.936","51.139","1161.933","1117.599"
"12","2","12","474","407","30.6","4","905.202","50.169","1165.698","1121.2"
"12","2","13","511","326","30.7","4.7","820.807","47.514","1071.405","1030.909"
"12","2","14","420","283","30.9","5.4","630.883","42.83","841.649","810.092"
"12","2","15","276","249","29.9","5.4","429.64","37.826","583.745","560.847"
"12","2","16","64","138","28.9","5.4","169.985","31.689","236.884","223.337"
"12","2","17","0","22","27.9","5.4","20.827","27.494","30.064","20.84"
"12","2","18","0","0","27.6","4.5","0","27.6","0","0"
"12","2","19","0","0","27.2","3.6","0","27.2","0","0"
"12","2","20","0","0","26.9","2.7","0","26.9","0","0"
"12","2","21","0","0","26.8","2.1","0","26.8","0","0"
"12","2","22","0","0","26.8","1.5","0","26.8","0","0"
"12","2","23","0","0","26.7","0.9","0","26.7","0","0"
"12","3","0","0","0","26.7","0.3","0","26.7","0","0"
"12","3","1","0","0","26.3","0.2","0","26.3","0","0"
"12","3","2","0","0","26","0","0","26","0","0"
"12","3","3","0","0","25.7","0","0","25.7","0","0"
"12","3","4","0","0","25.3","0","0","25.3","0","0"
"12","3","5","0","0","25","0","0","25","0","0"
"12","3","6","0","51","26","0.9","52.068","25.646","75.822","65.722"
"12","3","7","8","179","27","1.7","183.297","30.641","260.286","246.191"
"12","3","8","50","327","28","2.6","371.156","36.172","512.902","492.128"
"12","3","9","116","466","29.3","3.4","577.5","41.784","776.523","747.29"
"12","3","10","157","530","30.7","4.3","701.571","45.147","927.604","892.839"
"12","3","11","97","566","32","5.1","678.919","45.084","898.044","864.4"
"12","3","12","169","564","31.7","4.6","755.694","47.052","989.368","952.197"
"12","3","13","160","517","31.3","4.1","686.446","45.993","903.523","869.673"
"12","3","14","126","425","31","3.6","537.68","43.044","717.973","690.75"
"12","3","15","49","282","30","2.6","321.583","37.922","440.137","421.43"
"12","3","16","4","134","29","1.5","136.336","32.499","191.897","179.37"
"12","3","17","0","34","28","0.5","34.881","27.971","50.237","40.632"
"12","3","18","0","0","27.7","0.6","0","27.7","0","0"
"12","3","19","0","0","27.3","0.7","0","27.3","0","0"
"12","3","20","0","0","27","0.7","0","27","0","0"
"12","3","21","0","0","26.7","0.8","0","26.7","0","0"
"12","3","22","0","0","26.3","0.9","0","26.3","0","0"
"12","3","23","0","0","26","1","0","26","0","0"
"12","4","0","0","0","25.6","0.7","0","25.6","0","0"
"12","4","1","0","0","25.3","0.5","0","25.3","0","0"
"12","4","2","0","0","24.9","0.2","0","24.9","0","0"
"12","4","3","0","0","24.6","0","0","24.6","0","0"
"12","4","4","0","0","24.2","0","0","24.2","0","0"
"12","4","5","0","0","23.9","0","0","23.9","0","0"
"12","4","6","0","50","25.6","1.8","51.064","25.311","74.476","64.403"
"12","4","7","11","189","27.2","3.6","195.883","30.405","278.369","263.842"
"12","4","8","55","347","28.9","5.4","397.064","35.57","550.312","528.43"
"12","4","9","128","458","29.2","5.6","578.799","39.316","788.016","758.38"
"12","4","10","192","540","29.6","5.8","745.277","42.71","997.838","960.33"
"12","4","11","221","581","29.9","6","827.139","44.387","1098.049","1056.442"
"12","4","12","221","575","30.2","6.2","818.731","44.368","1086.982","1045.839"
"12","4","13","196","527","30.6","6.4","730.286","43.013","976.134","939.485"
"12","4","14","141","430","30.9","6.6","555.26","40.097","752.609","724.206"
"12","4","15","58","286","29.9","6.2","331.722","35.395","459.602","440.353"
"12","4","16","6","133","28.9","5.8","136.024","30.813","192.919","180.369"
"12","4","17","0","22","27.9","5.4","20.826","27.444","30.07","20.846"
"12","4","18","0","0","27.6","4.7","0","27.6","0","0"
"12","4","19","0","0","27.2","4","0","27.2","0","0"
"12","4","20","0","0","26.9","3.3","0","26.9","0","0"
"12","4","21","0","0","26.9","2.2","0","26.9","0","0"
"12","4","22","0","0","26.9","1.1","0","26.9","0","0"
"12","4","23","0","0","26.9","0","0","26.9","0","0"
"12","5","0","0","0","26.6","0","0","26.6","0","0"
"12","5","1","0","0","26.2","0","0","26.2","0","0"
"12","5","2","0","0","25.9","0","0","25.9","0","0"
"12","5","3","0","0","25.6","0","0","25.6","0","0"
"12","5","4","0","0","25.2","0","0","25.2","0","0"
"12","5","5","0","0","24.9","0","0","24.9","0","0"
"12","5","6","1","49","26.2","1.1","50.222","25.93","72.95","62.906"
"12","5","7","39","213","27.6","2.2","236.143","32.359","331.302","315.47"
"12","5","8","99","272","28.9","3.3","343.805","36","474.686","455.011"
"12","5","9","280","363","29.2","3.6","618.504","42.282","828.907","797.812"
"12","5","10","358","437","29.6","4","800.58","46.521","1050.83","1011.182"
"12","5","11","303","546","29.9","4.3","870.992","48.15","1133.759","1090.639"
"12","5","12","306","429","30.2","4.7","756.898","45.7","997.951","960.438"
"12","5","13","307","421","30.6","5","727.637","44.83","963.382","927.233"
"12","5","14","330","340","30.9","5.4","622.008","42.532","831.648","800.455"
"12","5","15","217","247","31.2","5.7","392.533","38.212","533.163","511.793"
"12","5","16","70","129","31.6","6.1","162.299","34.042","223.165","209.934"
"12","5","17","0","23","31.9","6.4","21.837","31.616","30.905","21.665"
"12","5","18","0","0","31.1","5.7","0","31.1","0","0"
"12","5","19","0","0","30.2","5","0","30.2","0","0"
"12","5","20","0","0","29.4","4.3","0","29.4","0","0"
"12","5","21","0","0","28.6","3.6","0","28.6","0","0"
"12","5","22","0","0","27.7","2.9","0","27.7","0","0"
"12","5","23","0","0","26.9","2.2","0","26.9","0","0"
"12","6","0","0","0","26.6","1.5","0","26.6","0","0"
"12","6","1","0","0","26.2","0.7","0","26.2","0","0"
"12","6","2","0","0","25.9","0","0","25.9","0","0"
"12","6","3","0","0","25.6","0","0","25.6","0","0"
"12","6","4","0","0","25.2","0","0","25.2","0","0"
"12","6","5","0","0","24.9","0","0","24.9","0","0"
"12","6","6","16","47","26.2","1.4","53.891","26.072","76.934","66.812"
"12","6","7","145","186","27.6","2.9","267.026","32.73","369.56","352.747"
"12","6","8","368","219","28.9","4.3","480.615","38.282","652.528","627.463"
"12","6","9","191","473","29.1","4.7","654.47","41.915","879.171","846.233"
"12","6","10","294","418","29.2","5.1","720.386","42.958","963.201","927.059"
"12","6","11","612","360","29.4","5.4","998.92","47.908","1301.924","1251.3"
"12","6","12","534","361","29.6","5.8","917.886","46.31","1206.344","1160.06"
"12","6","13","428","368","29.7","6.2","782.324","43.351","1043.611","1004.259"
"12","6","14","400","295","29.9","6.6","629.841","40.37","851.062","819.162"
"12","6","15","189","202","29.2","6.2","326.972","34.692","451.801","432.77"
"12","6","16","19","150","28.6","5.8","160.303","30.936","226.566","213.257"
"12","6","17","0","23","27.9","5.4","21.817","27.499","31.493","22.242"
"12","6","18","0","0","27.6","5","0","27.6","0","0"
"12","6","19","0","0","27.2","4.7","0","27.2","0","0"
"12","6","20","0","0","26.9","4.3","0","26.9","0","0"
"12","6","21","0","0","26.8","3.8","0","26.8","0","0"
"12","6","22","0","0","26.8","3.2","0","26.8","0","0"
"12","6","23","0","0","26.7","2.7","0","26.7","0","0"
"12","7","0","0","0","26.7","2.2","0","26.7","0","0"
"12","7","1","0","0","26.3","1.7","0","26.3","0","0"
"12","7","2","0","0","26","1.3","0","26","0","0"
"12","7","3","0","0","25.7","0.9","0","25.7","0","0"
"12","7","4","0","0","25.3","0.4","0","25.3","0","0"
"12","7","5","0","0","25","0","0","25","0","0"
"12","7","6","0","57","25.7","0.6","60.174","25.701","87.603","77.27"
"12","7","7","5","171","26.3","1.3","173.814","29.936","247.769","233.968"
"12","7","8","68","318","27","1.9","373.886","35.986","516.848","495.958"
"12","7","9","64","444","27.7","2.5","510.799","39.845","693.77","667.356"
"12","7","10","134","528","28.3","3.2","669.817","43.385","893.722","860.241"
"12","7","11","114","602","29","3.8","735.838","44.963","973.943","937.38"
"12","7","12","184","565","29.7","4.4","772.317","45.736","1018.106","979.787"
"12","7","13","130","518","30.3","5.1","653.196","42.982","873.293","840.574"
"12","7","14","132","425","31","5.7","543.388","40.757","734.117","706.347"
"12","7","15","56","286","30","4.7","330.877","36.508","455.978","436.831"
"12","7","16","2","136","29","3.6","137.622","31.555","194.714","182.125"
"12","7","17","0","24","28","2.6","22.906","27.52","33.061","23.781"
"12","7","18","0","0","27.7","2.4","0","27.7","0","0"
"12","7","19","0","0","27.3","2.1","0","27.3","0","0"
"12","7","20","0","0","27","1.9","0","27","0","0"
"12","7","21","0","0","26.7","1.7","0","26.7","0","0"
"12","7","22","0","0","26.3","1.4","0","26.3","0","0"
"12","7","23","0","0","26","1.2","0","26","0","0"
"12","8","0","0","0","25.9","0.9","0","25.9","0","0"
"12","8","1","0","0","25.8","0.6","0","25.8","0","0"
"12","8","2","0","0","25.7","0.3","0","25.7","0","0"
"12","8","3","0","0","25.6","0","0","25.6","0","0"
"12","8","4","0","0","25.2","0","0","25.2","0","0"
"12","8","5","0","0","24.9","0","0","24.9","0","0"
"12","8","6","3","49","26.2","1.4","51.065","25.991","73.98","63.917"
"12","8","7","203","142","27.6","2.9","244.787","32.197","336.512","320.549"
"12","8","8","72","156","28.9","4.3","202.76","32.474","284.598","269.921"
"12","8","9","197","422","29.6","4.7","604.32","40.959","815.658","785.04"
"12","8","10","580","348","30.2","5","922.207","47.891","1201.668","1155.592"
"12","8","11","439","401","30.9","5.4","869.315","47.343","1136.379","1093.146"
"12","8","12","320","225","30.2","5.4","565.311","40.982","763.644","734.86"
"12","8","13","266","410","29.6","5.4","679.454","42.036","912.651","878.455"
"12","8","14","359","187","28.9","5.4","492.653","38.045","673.285","647.545"
"12","8","15","282","207","28.6","4.3","397.248","36.68","542.52","520.871"
"12","8","16","125","116","28.2","3.3","174.981","31.834","240.607","226.973"
"12","8","17","8","23","27.9","2.2","24.524","27.566","34.674","25.364"
"12","8","18","0","0","27.4","1.8","0","27.4","0","0"
"12","8","19","0","0","26.9","1.5","0","26.9","0","0"
"12","8","20","0","0","26.4","1.1","0","26.4","0","0"
"12","8","21","0","0","26.9","1","0","26.9","0","0"
"12","8","22","0","0","27.3","1","0","27.3","0","0"
"12","8","23","0","0","27.8","0.9","0","27.8","0","0"
"12","9","0","0","0","28.3","0.8","0","28.3","0","0"
"12","9","1","0","0","27.3","0.9","0","27.3","0","0"
"12","9","2","0","0","26.4","1","0","26.4","0","0"
"12","9","3","0","0","25.5","1.1","0","25.5","0","0"
"12","9","4","0","0","24.6","1.1","0","24.6","0","0"
"12","9","5","0","0","23.6","1.2","0","23.6","0","0"
"12","9","6","3","40","22.7","1.3","40.46","22.036","59.656","49.871"
"12","9","7","21","128","24.3","1.2","135.377","26.693","195.209","182.608"
"12","9","8","103","182","26","1","256.886","32.812","359.773","343.214"
"12","9","9","164","317","27.7","0.8","464.668","41.935","623.999","599.845"
"12","9","10","382","306","29.3","0.7","693.43","51.616","885.871","852.684"
"12","9","11","340","376","31","0.5","737.256","56.627","916.766","882.414"
"12","9","12","213","443","30.4","0.5","670.798","54.332","844.688","813.02"
"12","9","13","321","273","29.9","0.5","584.769","51.011","749.351","721.06"
"12","9","14","104","260","29.3","0.5","351.713","42.833","470.055","450.512"
"12","9","15","122","195","28.8","0.5","278.795","38.688","378.53","361.482"
"12","9","16","174","105","28.2","0.5","188.047","34.589","253.052","239.128"
"12","9","17","10","24","27.7","0.5","26.123","27.698","36.779","27.43"
"12","9","18","0","0","27.1","0.5","0","27.1","0","0"
"12","9","19","0","0","26.6","0.5","0","26.6","0","0"
"12","9","20","0","0","26","0.5","0","26","0","0"
"12","9","21","0","0","25.8","0.5","0","25.8","0","0"
"12","9","22","0","0","25.6","0.5","0","25.6","0","0"
"12","9","23","0","0","25.3","0.5","0","25.3","0","0"
"12","10","0","0","0","24.9","0.5","0","24.9","0","0"
"12","10","1","0","0","24.4","0.6","0","24.4","0","0"
"12","10","2","0","0","24","0.6","0","24","0","0"
"12","10","3","0","0","23.6","0.7","0","23.6","0","0"
"12","10","4","0","0","23.2","0.4","0","23.2","0","0"
"12","10","5","0","0","22.9","0","0","22.9","0","0"
